market,1.0,2.0,3.0,4.0,5.0,date,long_short_return,long_only_return,long_short_nav,long_only_nav,top_quantile_turnover
hk,0.027592448389167534,0.0034798746718281023,-0.003583078733799414,0.0004460160175386196,-0.004460184472947154,2024-11-30,-0.03205263286211469,-0.004460184472947154,0.9679473671378853,0.9955398155270528,
hk,0.021710314239512325,-0.018880251144953605,-0.0030719742538075894,0.0015700646307864378,-0.005726828798150296,2024-12-31,-0.02743714303766262,-0.005726828798150296,0.9413896567727942,0.9898385294417872,0.6224489795918368
hk,0.06026125392230094,0.05628311251493273,0.02451459782363547,0.052856665296587314,0.04104786344839421,2025-01-31,-0.01921339047390673,0.04104786344839421,0.9233023697091215,1.030469286234273,0.415929203539823
hk,0.008629341148444375,0.001955216667889364,0.021273266446405554,0.031638015455803144,0.03024548776713829,2025-02-28,0.02161614661869391,0.03024548776713829,0.9432606091061414,1.0616363324254834,0.402088772845953
hk,0.079278060150098,-0.0013745830428695937,-0.0024559181111563954,-0.0034935476178242423,0.00817377305392096,2025-03-31,-0.07110428709617704,0.00817377305392096,0.8761907359497435,1.0703139068725263,0.4204275534441805
hk,0.15479324122142668,0.07305791875250257,0.06681853110076996,0.07226523808137503,0.03688905234312809,2025-04-30,-0.1179041888782986,0.03688905234312809,0.7728841779249095,1.1097967726067246,0.484375
hk,0.16570327877652347,0.0921243656768296,0.08592866071526607,0.07943920874401877,0.050244250469426904,2025-05-31,-0.11545902830709656,0.050244250469426904,0.6836477217477703,1.1655576796197384,0.4473684210526315
hk,0.20743207119215837,0.16600536837414115,0.18089086081820374,0.12758009686948185,0.10118294169442875,2025-06-30,-0.10624912949772962,0.10118294169442875,0.6110107464289637,1.283492234358196,0.45182012847965736
hk,0.1063002978978706,0.056548764137489174,0.07262140236497776,0.06683480236859671,0.04482500903239874,2025-07-31,-0.06147528886547186,0.04482500903239874,0.5734486842923356,1.3410247853563158,0.49056603773584906
hk,0.10653938264093706,0.04380689454190441,0.031111211976376174,0.0257657661124109,0.011592828952347839,2025-08-31,-0.09494655368858922,0.011592828952347839,0.5190017080015226,1.3565710563138107,0.5010309278350515
hk,0.031587873605601564,-0.00932428183823214,-0.006700230469567352,-0.029046358617439184,-0.017105563296004617,2025-09-30,-0.048693436901606185,-0.017105563296004617,0.49372973108112456,1.3333661442445068,0.5142276422764227
hk,0.016117349966939115,0.00946216225598378,0.0038007022373034915,-0.00873603857850547,0.015040039022226684,2025-10-31,-0.0010773109447124313,0.015040039022226684,0.49319783063810096,1.3534200230848603,0.4808853118712274
hk,0.04291532988892377,-0.00730170232921953,0.03738819862658686,-0.011826126650827341,-0.009043164415257952,2025-11-30,-0.05195849430418172,-0.009043164415257952,0.4675720139640564,1.3411808232932017,0.45090180360721444
hk,0.05960769166148038,0.07391028772000222,0.07034085346748598,0.07011225184248421,0.05325149017145504,2025-12-31,-0.006356201490025339,0.05325149017145504,0.4646000320322039,1.4126007007229437,0.34730538922155685
hk,0.0027224097649881647,-0.01710399859641417,-0.0018236458182158302,-0.00406031697415056,-0.006576277861141055,2026-01-31,-0.00929868762612922,-0.006576277861141055,0.46027986146324684,1.4033110460081473,0.3650793650793651
hk,-0.036145686224260426,-0.044697281974490376,-0.059316628392076944,-0.061302546702123,-0.07487440987842761,2026-02-28,-0.038728723654167185,-0.07487440987842761,0.44245380990505845,1.2982389595624082,0.38613861386138615
hk,0.05797644180977252,0.05793638164833102,0.06590472855069839,0.054926143069094775,0.04608906425959206,2026-03-31,-0.011887377550180461,0.04608906425959206,0.43719419441820123,1.3580735783939861,0.4850894632206759
hk,-0.006567757725119169,-0.011017218953837343,0.04995207651497873,-0.0014453357011490467,-0.020531600708418436,2026-04-30,-0.013963842983299266,-0.020531600708418436,0.4310892833341355,1.3301901539497478,0.386
hk,-0.07113338304029948,-0.08393669277237065,-0.0518148401789548,-0.06690518675699068,-0.06357720610065412,2026-05-31,0.007556176939645359,-0.06357720610065412,0.4343466702357931,1.245620380379024,0.39672801635991817
us,0.05310778050107225,-0.02459147260519523,-0.030487634836974892,-0.05388160789731887,-0.05037566076469612,2024-11-30,-0.10348344126576837,-0.05037566076469612,0.8965165587342316,0.9496243392353039,
us,0.013365279008181135,0.00686453117342567,-0.01672245663070613,0.010966774274788506,0.019191793766983184,2024-12-31,0.005826514758802049,0.019191793766983184,0.9017401256952071,0.9678493337100156,0.4280408542246983
us,-0.10854404496142302,-0.0783433759794033,-0.10315521447368421,-0.05345407094511379,-0.043578303910147075,2025-01-31,0.06496574105127595,-0.043578303910147075,0.9603223411966668,0.9256721013063672,0.36187845303867405
us,-0.09563483798415495,-0.06882624697167489,-0.08417101353678341,-0.04983547217848423,-0.031258103560410595,2025-02-28,0.06437673442374436,-0.031258103560410595,1.022144757517073,0.8967373469007499,0.4606946983546618
us,0.06461433079572891,-0.006222333754020328,-0.01724961041548287,-0.013979541105246594,-0.016809977916482397,2025-03-31,-0.0814243087122113,-0.016809977916482397,0.9389173272324345,0.8816632119024632,0.30727272727272725
us,0.1368871504339814,0.06783138438262944,0.05699779503855765,0.03415088847501358,0.012289120738075048,2025-04-30,-0.12459802969590635,0.012289120738075048,0.8219300782119265,0.8924980775638517,0.30442637759710933
