market,rank_ic,date
hk,0.0022471423742100967,2024-11-30
hk,0.048474134488946725,2024-12-31
hk,0.04244220192422443,2025-01-31
hk,0.1433781759099506,2025-02-28
hk,0.029572627012157453,2025-03-31
hk,-0.05437150231418298,2025-04-30
hk,-0.07126320794480621,2025-05-31
hk,-0.051364321062547263,2025-06-30
hk,0.019121593615909687,2025-07-31
hk,-0.015692003556013984,2025-08-31
hk,0.026280916177871948,2025-09-30
hk,0.0762750491832459,2025-10-31
hk,0.028645853522165584,2025-11-30
hk,0.012409712398846051,2025-12-31
hk,0.0883319810155924,2026-01-31
hk,-0.009022037114746174,2026-02-28
hk,0.05407782536554317,2026-03-31
hk,0.06539794963036197,2026-04-30
hk,0.11877770847189109,2026-05-31
us,-0.0006970425170847831,2024-11-30
us,0.11420483109358144,2024-12-31
us,0.21459606984026033,2025-01-31
us,0.2561867366910886,2025-02-28
us,-0.05753605289226628,2025-03-31
us,-0.138801923787802,2025-04-30
us,-0.10561035993093634,2025-05-31
us,-0.0717887246502078,2025-06-30
us,-0.038110380772643976,2025-07-31
us,-0.013634463387902114,2025-08-31
us,0.07212310551879395,2025-09-30
us,0.23411940046223237,2025-10-31
us,0.1660057752293384,2025-11-30
us,0.0671122126123218,2025-12-31
us,0.2612182624462113,2026-01-31
us,0.18641623829151663,2026-02-28
us,-0.1282360730769602,2026-03-31
us,-0.09407615091303362,2026-04-30
us,0.1658212019476542,2026-05-31
