symbol,date,bs_asset_accruals,fy_period
0092.HK,20231026,164883000.0,FY2023H2
0092.HK,20230330,129484000.00000001,FY2023H1
0093.HK,20260428,680874000.0,FY2025H2
0093.HK,20250915,619942000.0,FY2025H1
0093.HK,20250428,678991000.0,FY2024H2
0093.HK,20240916,599252000.0,FY2024H1
0093.HK,20240425,677961000.0,FY2023H2
0093.HK,20230912,616695000.0,FY2023H1
0094.HK,20260428,640359000.0,FY2025H2
0094.HK,20250911,603140000.0,FY2025H1
0094.HK,20250407,584355000.0,FY2024H2
0094.HK,20240926,640274000.0,FY2024H1
0094.HK,20240425,745936000.0,FY2023H2
0094.HK,20230926,833640000.0,FY2023H1
0095.HK,20260429,96636785000.0,FY2025H2
0095.HK,20250926,102266401000.0,FY2025H1
0095.HK,20250429,102488042000.0,FY2024H2
0095.HK,20240927,103396633000.0,FY2024H1
0095.HK,20240429,104272293000.0,FY2023H2
0095.HK,20230928,102616189000.0,FY2023H1
0096.HK,20260430,3131656000.0,FY2025H2
0096.HK,20250923,2818647000.0,FY2025H1
0096.HK,20250430,2815961000.0,FY2024H2
0096.HK,20240926,2575008000.0,FY2024H1
0096.HK,20240430,2520156000.0,FY2023H2
0096.HK,20230925,2211825000.0,FY2023H1
0097.HK,20260424,840000000.0,FY2025H2
0097.HK,20250910,981000000.0,FY2025H1
0097.HK,20250424,1081000000.0,FY2024H2
0097.HK,20240911,1233000000.0,FY2024H1
0097.HK,20240424,1378000000.0,FY2023H2
0097.HK,20230912,1018000000.0,FY2023H1
0098.HK,20260430,13346079000.0,FY2025H2
0098.HK,20250919,13314122000.0,FY2025H1
0098.HK,20250430,11816380000.0,FY2024H2
0098.HK,20240930,11355626000.0,FY2024H1
0098.HK,20240430,10025811000.0,FY2023H2
0098.HK,20230925,10579190000.0,FY2023H1
0099.HK,20260424,4089504000.0,FY2025H2
0099.HK,20250911,4088970000.0,FY2025H1
0099.HK,20250425,4452115000.0,FY2024H2
0099.HK,20240912,5062122000.0,FY2024H1
0099.HK,20240425,5348141000.0,FY2023H2
0099.HK,20230914,5660168000.0,FY2023H1
0100.HK,20260422,580783000.0,FY2025Q4
0100.HK,20251231,770445000.0,FY2025Q3
0101.HK,20260326,216577000000.0,FY2025H2
0101.HK,20250923,214464000000.0,FY2025H1
0101.HK,20250320,211345000000.0,FY2024H2
0101.HK,20240912,212366000000.0,FY2024H1
0101.HK,20240327,211950000000.0,FY2023H2
0101.HK,20230921,205896000000.0,FY2023H1
0102.HK,20250829,3026981000.0,FY2025H1
0102.HK,20250710,2755001000.0,FY2024H2
0102.HK,20230913,2872679000.0,FY2023H1
0103.HK,20260430,3215256000.0,FY2025H2
0103.HK,20250926,3108543000.0,FY2025H1
0103.HK,20250430,3087275000.0,FY2024H2
0103.HK,20240926,3282235000.0,FY2024H1
0103.HK,20240429,3235011000.0,FY2023H2
0103.HK,20230926,3061506000.0,FY2023H1
0104.HK,20250724,539009000.0,FY2025H2
0104.HK,20241220,610165000.0,FY2025H1
0104.HK,20240717,607665000.0,FY2024H2
0104.HK,20231220,625809000.0,FY2024H1
0104.HK,20230720,626543000.0,FY2023H2
0104.HK,20221223,638791000.0,FY2023H1
0105.HK,20250724,7103038000.0,FY2025H2
0105.HK,20241216,7245429000.0,FY2025H1
0105.HK,20240725,7811309000.0,FY2024H2
0105.HK,20231214,7986060000.0,FY2024H1
0105.HK,20230727,7617058000.0,FY2023H2
0105.HK,20221215,8150797000.0,FY2023H1
0106.HK,20250428,8751833000.0,FY2024H2
0106.HK,20240926,10206914000.0,FY2024H1
0106.HK,20240429,17849673000.0,FY2023H2
0106.HK,20230922,18810347000.0,FY2023H1
0107.HK,20260420,58343379000.0,FY2025H2
0107.HK,20250912,57518971000.0,FY2025H1
0107.HK,20250417,56805616000.0,FY2024H2
0107.HK,20240913,55899624000.0,FY2024H1
0107.HK,20240418,54118745000.0,FY2023H2
0107.HK,20230920,52881583000.0,FY2023H1
0108.HK,20260430,5618360000.0,FY2025H2
0108.HK,20250930,5579351000.0,FY2025H1
0108.HK,20250430,5230320000.0,FY2024H2
0108.HK,20240926,6130798000.0,FY2024H1
0108.HK,20240430,6107067000.0,FY2023H2
0108.HK,20230929,5949754000.0,FY2023H1
0110.HK,20260429,26907000.0,FY2025H2
0110.HK,20250919,53773000.0,FY2025H1
0110.HK,20250428,53795000.0,FY2024H2
0110.HK,20240923,41261000.0,FY2024H1
0110.HK,20240429,27036000.0,FY2023H2
0110.HK,20230919,18339000.0,FY2023H1
0111.HK,20260420,1870538000.0,FY2025H2
0111.HK,20250918,1626583000.0,FY2025H1
0111.HK,20250408,1105797000.0,FY2024H2
0111.HK,20240919,719349000.0,FY2024H1
0111.HK,20240418,599446000.0,FY2023H2
0111.HK,20230914,588969000.0,FY2023H1
0113.HK,20250624,1607912000.0,FY2025H2
0113.HK,20241212,1520817000.0,FY2025H1
0113.HK,20240711,1888820000.0,FY2024H2
0113.HK,20231207,2360177000.0,FY2024H1
0113.HK,20230710,2332081000.0,FY2023H2
0113.HK,20221212,2575199000.0,FY2023H1
0114.HK,20250721,560717000.0,FY2025H2
0114.HK,20241212,619940000.0,FY2025H1
0114.HK,20240718,634303000.0,FY2024H2
0114.HK,20231213,664151000.0,FY2024H1
0114.HK,20230727,734260000.0,FY2023H2
