symbol,pv_beta_5y,pv_rel_return_26w,pv_rel_return_52w
0001.HK,0.597775051419531,17.9874643705549,34.6212431293616
0002.HK,0.283881356668184,12.8129444243476,13.6130495927359
0003.HK,0.497510121884301,4.03476047956115,0.022314449146377
0004.HK,0.502983230599848,-17.69387383622,-16.9055535194691
0005.HK,1.35006545178689,14.3586992333107,36.2970262318284
0006.HK,0.22580332080396,5.6008999526509,12.5432184891438
0007.HK,0.112977757341146,7.82314111327067,-1.09838375196449
0008.HK,0.363082947943774,6.52182734121396,1.01715884157638
0009.HK,-0.02819030561046,-10.5133400347828,-26.1509885489926
0010.HK,0.95384462784372,-10.3098645350732,-5.21928442896597
0011.HK,0.56599679541704,18.1325201489004,16.8731807602406
0012.HK,0.943757535683725,-1.47195725856302,1.45391602217837
0013.HK,1.30290799138788,-19.6471529296954,-41.8568567000092
0014.HK,0.848527637747509,-7.77360162450943,14.3899825661241
0016.HK,0.689727953956593,4.96976207819615,26.4524087678937
0017.HK,1.30810789923279,-28.5684687128091,3.89206477431252
0018.HK,0.251432133629654,-22.3673383984451,-38.2853914612258
0019.HK,0.570524957646144,41.1372677695304,32.6318475211912
0020.HK,2.17163440817596,-38.8719199987757,-10.9885453767681
0021.HK,0.053259942559617,-22.4642580758503,-53.1133078527832
0022.HK,0.501060747971443,-78.8602905600583,-76.8453863136952
0023.HK,0.774935732791767,18.1163455120325,27.813750071343
0025.HK,0.35935377797219,21.3637216251698,19.670955660123
0026.HK,0.328616936317536,9.69832426831323,3.64674683530977
0027.HK,0.942113325070346,-12.2595576817603,-11.7848960530509
0028.HK,0.242692598730678,-20.5881401303989,-27.3158380590946
0029.HK,0.669166310275981,-13.1151286132898,-26.6920081092806
0030.HK,-0.061894197425223,0.723675031738447,-16.8493818951702
0031.HK,0.505843763101969,-16.9932961270853,-7.75522330712074
0032.HK,0.095491052240314,-0.339294477721741,-6.4143456252964
0033.HK,-0.408725997967245,7.82314111327067,-39.1374669242858
0034.HK,0.540394702062117,6.95359965267977,56.9664361097853
0035.HK,0.35550271025389,-8.35033005371993,-13.7780781427383
0036.HK,1.20658455265501,26.1760161963806,-42.1320330463622
0037.HK,0.807898051425218,-2.34885333137752,-1.09838375196449
0038.HK,0.702590936357823,6.87939370746522,23.4226781277137
0039.HK,0.251250118580676,-40.8287640232051,-52.1443792348215
0040.HK,0.068319946108381,1.99486321525604,9.89068472003942
0041.HK,0.575412608355532,5.15919692270188,3.69565209538383
0042.HK,0.333145501753443,-11.8498530547647,-26.8442013149452
0045.HK,0.518330008463131,4.73266891575652,2.25421340898586
0046.HK,0.212087820358167,-11.1187620552769,-25.9754774094458
0048.HK,0.676815319358339,26.6494038473338,156.730611034569
0050.HK,0.310291699731374,7.16299943298533,-0.485357204972536
0051.HK,0.308469940568676,2.6022311225228,-0.879089702634039
0052.HK,0.443859708910396,8.30342236544557,-19.6312992290738
0053.HK,0.110611556506625,4.11022303085777,-9.90249124123083
0055.HK,0.33182091823524,-10.900637882447,-30.0080869629287
0057.HK,0.459517275146676,3.27638215066288,-7.4979000974256
0058.HK,1.0499453581892,27.2313065136594,62.0887599620582
0059.HK,1.98250884749465,7.82314111327067,-1.09838375196449
0060.HK,-0.01783084614926,-3.40843608602835,-11.4006354444682
0061.HK,0.6742421001361,-28.3453809057379,-46.4707747111148
0062.HK,0.314752551494039,-2.3371164147106,2.83148179431507
0063.HK,0.058135175923902,-29.9149582763741,-36.7678191201084
0064.HK,0.188263297516385,34.9574415258818,22.9763517820968
0065.HK,1.06179818716123,-24.1868539047316,-49.4253098731637
0066.HK,0.496388544235094,4.45561675230097,17.4895086634464
0068.HK,,,
0069.HK,0.647943996559522,-9.81663657397198,-14.2992350732065
0070.HK,0.458605751832447,3.33051023355104,-35.0075093227195
0071.HK,0.315018930795987,-1.9789626242994,-0.099377527236866
0072.HK,-0.596493889049929,6.40441557230655,-29.3559883942604
0073.HK,0.523414287123261,32.2714114819774,-8.47262706870399
0075.HK,0.368625475453944,23.4496833035997,-2.94127101124466
0076.HK,0.464866207755564,-9.40304119476668,-43.3708487612055
0077.HK,0.283819971193252,19.8034901258563,14.7296019994636
0078.HK,0.31733811744944,-18.1342817473315,-26.2733406151008
0079.HK,0.529536277126412,27.1499305581022,-1.09838375196449
0080.HK,0.404932515832361,-11.7810663618695,-14.1629483316852
0081.HK,1.78207113463011,9.54143818280486,22.4267579769371
0082.HK,0.768128644794468,-9.94990412518054,-17.4008479686736
0083.HK,0.613886775342343,0.307070175082269,15.5812401774339
0084.HK,0.757907351130258,11.090509025794,-12.6583129238128
0085.HK,0.742266377031706,-29.9149582763741,-39.9996861428585
0086.HK,0.370282953847125,4.764328599419,13.2271985458011
0087.HK,0.631549153500282,28.5027175067393,17.406792873061
0088.HK,0.239410632929556,-4.09415343082767,-1.68015796518825
0089.HK,0.317061972484487,-11.4951716695237,-8.09613961857077
0090.HK,0.107072966026624,-12.1105488404432,-54.747845395946
0092.HK,0.088846082095376,-26.6991803835221,-22.5770175836086
0093.HK,-0.264853167285747,-11.6767886625336,-34.3497892146661
0094.HK,0.67956211521536,-16.1441651793645,18.7496976857988
0095.HK,1.90062285957951,-14.1335712588863,-26.5781221751872
0096.HK,0.309311321139334,-3.72933829172263,-13.2441962736531
0097.HK,0.522991080619055,-8.81242922991967,3.08055777964262
0098.HK,0.312183035436992,-13.0016586951374,-26.4607420169759
0099.HK,0.56022650483996,1.66181876394091,0.423179574928345
0100.HK,,-52.9820401047049,
0101.HK,1.14849250086595,-13.8792802609659,-4.28875846964305
0102.HK,0.185711130800696,-8.51875098195124,-29.0749281630394
0103.HK,0.760017961989772,-40.8942914163134,-45.6041110635805
0104.HK,0.059741035646776,14.0253571950075,-9.08659121815198
0105.HK,0.041354160329433,9.68572896359587,0.417349830380864
0106.HK,-0.11090909295857,7.82314111327067,-14.5849677857875
0107.HK,0.364069367904711,-4.40215927317825,-1.92085041514983
0108.HK,-0.272834845123631,-40.3531559798928,33.0056218508064
0110.HK,0.353111530927594,285.08264683311,339.562738880158
0111.HK,0.694597619723346,-26.9198710232277,0.549976518836082
0113.HK,0.127279936229977,24.5575968768823,24.3380896755522
0114.HK,0.349016948753793,18.0920116954869,21.8609200199009
0115.HK,-0.14989086442588,-18.5234738762715,103.509094971919
0116.HK,0.803750392531699,-19.7840903148169,32.5281657723676
0117.HK,-0.682708315580416,553.100169028954,232.811788009262
0118.HK,-0.07622982557842,6.69998339334077,-13.8013436370333
0119.HK,1.14201673366467,-27.1720888971768,-5.98241418396625
0120.HK,0.440641213946301,-35.7907137190635,-61.4574583739273
0122.HK,0.166831786217656,2.75762441667404,-27.0458974716447
0123.HK,1.48415762316876,-6.90270454803252,-24.2498914568434
0124.HK,0.594363819340447,-12.4212037488128,-24.3022244870805
0125.HK,0.331987706460157,-14.8764675421547,-19.8095003394307
0126.HK,0.517183451669154,-17.84903534227,-20.8787070015716
0127.HK,1.06621416248841,-8.8936249508023,-19.5501778280905
0128.HK,0.38529216084601,52.3900394400892,90.6103876780321
0129.HK,1.03109276942982,-10.5397519147536,-39.3828803641073
0130.HK,0.086519398133047,1.83296660697787,32.3879902532759
0131.HK,0.065635058918895,24.9985087242342,-12.4587045372118
0132.HK,0.369379067876965,-9.70475867361571,-37.7286119919776
0133.HK,0.582346289054566,85.7094675990339,64.4505304533954
0135.HK,0.725208885163405,-3.06672725353099,-8.10816325408041
0136.HK,1.13493719883877,-29.9149582763741,-56.3489780139843
0137.HK,0.589519470582067,10.9038022879355,-5.05444840188591
0138.HK,-0.047644268533516,-53.1203734290127,-65.0935472065757
0139.HK,0.752449040823389,-23.9157902360661,-68.4113697893273
0142.HK,0.51941784787775,-4.42556771719689,-11.7202714431833
0144.HK,0.685528007144395,6.78770761986538,-1.79666217220095
0145.HK,0.885431434014719,-10.8475326725771,10.3908767639483
0146.HK,0.09689240498319,-15.9443254762137,-1.09838375196449
0147.HK,0.245014257093174,-68.9323152724474,-67.4581778796786
0148.HK,0.555882484925851,39.3472374735041,42.3620709490075
0149.HK,0.110245889650341,-5.65475152588816,27.1592208903313
0150.HK,0.164293116121543,-8.47570579920047,-8.51837096119217
0151.HK,0.297227937959592,-20.1055705975977,-39.6561816948175
0152.HK,0.921212598258602,-25.2603310760195,-23.6657101527008
0154.HK,0.450488880877999,-18.1342817473315,-40.3681431445668
0156.HK,0.302874929969078,20.0757707852332,27.53103147773
0157.HK,-0.087137108622669,6.67608642057631,-11.5591316243529
0158.HK,0.188041388075217,-1.82237949750115,-8.48389405620091
0159.HK,0.12243189446691,-11.134773807744,-50.5491918759822
0160.HK,0.400546986619975,-20.2558018849769,-33.1236690132331
0162.HK,0.119095729339103,-1.41884241072396,-37.9440839228012
0163.HK,0.735578569460488,-20.6078363942087,-24.9362092066192
0164.HK,1.2232240219979,32.0833478637566,10.1404362762213
0165.HK,1.40630335407256,-32.4743964745174,-26.4760166981031
0166.HK,0.66601968061664,-16.1375569119006,-29.3559883942604
0167.HK,0.443589729689265,146.210322227153,301.13942254448
0168.HK,1.08501838323594,2.42763284125871,-9.5866389716988
0169.HK,0.934650694590232,4.41819981495684,-38.1864898449778
0171.HK,0.144001188030437,-51.7967133846555,-65.833987114315
0173.HK,0.729869228357479,-13.9086547700242,-8.22642816623732
0174.HK,0.034157098347074,6.8689540237727,5.49505733123787
0175.HK,1.43524963448429,30.7532714814453,4.89565359640129
0176.HK,0.09577524140371,7.82314111327067,-1.09838375196449
0177.HK,0.511652515515226,2.97367926415706,0.206916767045118
0178.HK,0.98408720557801,67.1258687255695,45.9976239851953
0179.HK,0.965610660071882,-32.5430026249115,-30.7094087368473
0180.HK,0.397802762246525,8.34152159939214,-24.834771651493
0181.HK,0.644495272749633,-6.7969458173423,8.4727404010712
0182.HK,0.269966367808413,7.82314111327067,-17.9840255504096
0183.HK,0.271664756514346,-13.6223455169931,-46.8861690519809
0184.HK,0.482776009430347,6.89363127608729,-18.7593866533994
0185.HK,0.848237056256163,-47.3421868981701,-59.0078827393011
0186.HK,-0.114016965361348,-32.4399305682671,-49.7884102125358
0187.HK,0.926896000289068,-23.2445436142819,-44.6150949011001
0188.HK,0.131014768280533,8.70693735190402,-17.5261098406212
0189.HK,0.883322086849348,2.38450389138432,11.0770046119035
0191.HK,0.123574744883991,-17.2863575021485,-7.69182483516685
0193.HK,0.54323811554791,-2.11447557919667,-13.4061404406089
0194.HK,0.269548300103356,7.10271923500825,-1.09838375196449
0195.HK,0.377001650096069,7.82314111327067,-1.09838375196449
0196.HK,0.574845847837082,-32.9329744271522,-47.5215913785934
0197.HK,0.279823124669919,41.8725540964088,30.1337055895204
0199.HK,-0.36422891780847,93.8924905984253,830.038134442536
0200.HK,1.58328170554504,-7.78925940991786,-31.1513610649035
0201.HK,0.276510036145092,0.229962161631891,-8.06328630464305
0202.HK,-0.006928224974203,-43.4195398118481,-11.1561752348156
0204.HK,0.46402395178172,-61.0277803205046,-90.9171985078335
0205.HK,1.0265027375911,-21.7986009508147,125.086436978288
0206.HK,0.450831130757631,-48.4140266046313,4.92171462835069
0207.HK,1.13091511337606,164.462866564204,130.755376937456
0209.HK,-0.081750896108058,157.817110750843,283.765377147083
0210.HK,0.346762783084228,-13.475257131326,-40.4758791099786
0211.HK,0.471374671923866,3.82969144240879,-1.09838375196449
0212.HK,0.282383224791926,4.1751821048279,12.7929597066431
0213.HK,0.090368846811127,-3.52666321444204,-11.5090801991261
0214.HK,0.775507250843165,-22.1982040594439,-46.4767723834161
0215.HK,0.301251518786282,6.88554858185091,1.5746329033878
0216.HK,0.508815957251602,-14.6400132853274,-22.9864463642346
0217.HK,0.288831103414023,2.56347569311113,-53.1518659877727
0218.HK,1.67950359103718,-16.8221482840483,-50.5491918759822
0219.HK,0.187454042045906,7.82314111327067,14.8534898364283
0220.HK,0.552592216319562,6.57582971221742,-21.6731793051088
0222.HK,0.016733290073159,1.90601751559118,-16.2308714839044
0223.HK,-0.004187554030611,-20.4583385229971,-18.3381150245578
0224.HK,0.188986854248212,7.82314111327067,-15.2271860731124
0225.HK,0.053314736514136,-4.75622534994425,-9.62438515265721
0226.HK,0.405675339253383,53.5734243343699,31.7694876386922
0227.HK,1.75256146087913,-35.3061153320376,-62.9118939069867
0228.HK,0.14548831128244,-17.9152861202198,-42.7922023663324
0229.HK,0.127574756344004,-4.7944605063674,-4.54844013270992
0230.HK,1.07825929000869,174.85070676589,110.075411128807
0232.HK,0.469268550899146,178.961033694218,191.465028015734
0234.HK,0.679556719022244,-11.2044720243653,-16.083477122879
0235.HK,1.03685086768887,-30.4366831527286,-36.1925056464287
0236.HK,0.320750651758303,-7.95585514720796,-20.1179253381252
0237.HK,0.157482123135074,17.3838137242996,2.13671584493387
0239.HK,0.201603356716428,9.61634161621181,-3.15426341087834
0240.HK,0.344158005161377,16.2891589005604,21.0587348754204
0241.HK,2.40562499692838,-43.4086145326547,-26.7924118906294
0242.HK,0.956960863186765,-19.132644165047,-25.8237878139734
0243.HK,0.733195787223603,19.9532444885136,7.34443714725805
0244.HK,0.220592382028522,-22.203556411944,16.4750439284716
0245.HK,0.047652856910599,4.77154277987621,-3.89748609860701
0247.HK,0.082698335032154,1.7745258800872,-3.34614775760166
0248.HK,0.46369312139828,-11.6024889244496,6.24709029143653
0251.HK,0.119426394943376,-2.33411131044324,1.3336232049544
0252.HK,0.071937626947159,7.82314111327067,-1.71267950505788
0253.HK,0.165886746522618,6.16432355768188,3.76563016187332
0254.HK,0.283777775891478,-72.696398137446,-56.8679062473845
0255.HK,0.284916895890774,3.51021546873984,-3.77140040731682
0256.HK,0.485450956440439,-55.2779016973366,-81.7219797820086
0257.HK,0.764801132483682,16.3237207031136,21.0090363505376
0258.HK,0.550730035697073,-7.34589394829214,-31.8543741705609
0259.HK,0.295114394303078,-7.70573518836887,62.2604641569332
0260.HK,0.207526694365053,-3.93178327321817,4.36669016170248
0261.HK,0.491507379888917,-29.5555478059965,-40.3547175858001
0262.HK,0.431004379496613,2.4985415521215,7.25949931124978
0264.HK,0.282936032879653,-11.7354751816947,20.8797531920434
0265.HK,0.263826074656945,-11.2044720243653,70.9410651200614
0266.HK,0.096073484192534,-2.80730941902362,-10.4287249074395
0267.HK,0.685552814926822,5.25592346771659,-1.25893832379572
0268.HK,1.15261902387824,-39.6251240874916,-54.6081599416531
0269.HK,0.97041089674567,7.82314111327067,-10.0894397745132
0270.HK,1.08550735677271,27.1798901490331,17.1496609360533
0271.HK,0.712342394916034,-7.91320921136882,-5.29420989582056
0272.HK,0.990100372442354,-19.132644165047,-36.1521211563315
0274.HK,1.45719001906102,7.82314111327067,-1.09838375196449
0276.HK,0.088195446295896,-15.6166721722229,-15.2271860731124
0277.HK,-0.313958002602627,-11.4309912283848,-36.8128562859773
0279.HK,0.149278929094119,-39.0564854577166,-56.1686018900752
0280.HK,0.284053551688951,23.7969397967182,37.7955102781618
0285.HK,0.709739562380664,-23.5164569957768,-30.0867885143197
0286.HK,0.885177773674472,7.82314111327067,-1.09838375196449
0287.HK,0.007414319186566,15.2227684445736,1.46142278621997
0288.HK,0.587418009362581,0.062696932817152,7.78968516227134
0289.HK,0.347387261141834,7.03611088616649,5.91039220262071
0290.HK,0.393642612149192,-45.9105034679302,-9.98176245687785
0291.HK,1.29221238755067,2.24033550694211,-8.9288681903643
0292.HK,0.953095244477128,17.2807805835351,-24.7004238172681
0293.HK,0.390010474659359,29.2304908480772,21.8962420257037
0294.HK,0.218775962421802,15.6175850491697,-5.35221670886926
0295.HK,0.02849004752557,1.08419479369124,-7.27973476746672
0296.HK,0.477378598622752,-9.34054257414794,-27.2366680460882
0297.HK,0.704921624086481,-24.4066021542831,-14.3737684832444
0298.HK,0.684948604749993,-7.71070125050561,-18.1224324503968
0299.HK,0.283724012106769,7.82314111327067,-1.09838375196449
