symbol,date,curr_earn_yld_basic_excl_ratio_ttm,curr_earn_yld_basic_incl_ratio_ttm,curr_pb,curr_pb_issue,curr_rev_to_ev_ratio,curr_rev_to_ev_ratio_ttm
AAPL,20251227,,,,,,
AAPL,20260328,,,,,,
AAPL,20260428,,,,,,
AAPL,20260429,,,,,,
AAPL,20260430,,,,,10.4174364858627,
AAPL,20260506,,,,,,
AAPL,20260507,,,,,,
AAPL,20260508,,,,,,
AAPL,20260511,,,,,9.66781257102571,
AAPL,20260512,,,,,,
AAPL,20260513,,,,,9.6178988571494,
AAPL,20260514,,,,,,
AAPL,20260515,,,,,,
AAPL,20260518,,,,,9.40277993299407,
AAPL,20260519,,,,,,
AAPL,20260520,,,,,,
AAPL,20260521,,,,,9.25686621896021,
AAPL,20260522,,,,,9.14247081216339,
AAPL,20260526,,,,,9.1569482819439,
AAPL,20260527,,,,,,
AAPL,20260528,,,,,,
AAPL,20260529,,,,,,
AAPL,20260601,,,,,,
AAPL,20260602,,,,,,
AAPL,20260603,,,,,,
AAPL,20260604,,,,,9.01420472908826,
AAPL,20260605,,,,,,
AAPL,20260608,,,,,,
AAPL,20260609,,,,,,
AAPL,20260610,,,,,,
AAPL,20260611,,,,,,
AAPL,20260612,,,,,,
AAPL,20260615,,,,,,
AAPL,20260616,,,,,,
AAPL,20260617,,,,,,
AAPL,20260618,,,,,,
AAPL,20260622,,,,,,
AAPL,20260623,,,,,,
AAPL,20260624,,,,,,
AAPL,20260625,,,,,,
AAPL,20260626,,,,,,
AAPL,20260629,,,,,9.84411724079797,
AAPL,20260630,,,,,,
AAPL,20260701,,,,,,
AAPL,20260702,,,,,,
AAPL,20260706,,,,,,
AAPL,20260707,,,,,,
AAPL,20260708,,,,,,
AAPL,20260709,,,,,,
AAPL,20260710,,,,,,
AAPL,20260713,,,,,,
AAPL,20260714,,,,,,
AAPL,20260715,,,,,,
AAPL,20260716,,,,,,
AAPL,20260717,,,,,,
AAPL,20260720,,,,,,
AAPL,20260721,,,,,,
AAPL,20260722,,,,,,
AAPL,20260723,,,,,,
AAPL,20260724,,,,,8.77523538041986,
MSFT,20251231,,,,,,
MSFT,20260331,,,,,,
MSFT,20260428,,,,,,
MSFT,20260429,,,,,,
MSFT,20260430,,,,,9.15699963703733,
MSFT,20260506,,,,,,
MSFT,20260507,,,,,,
MSFT,20260508,,,,,,
MSFT,20260511,,,,,9.22246643123581,
MSFT,20260512,,,,,,
MSFT,20260513,,,,,9.32840271025311,
MSFT,20260514,,,,,,
MSFT,20260515,,,,,,
MSFT,20260518,,,,,9.03032025210783,
MSFT,20260519,,,,,,
MSFT,20260520,,,,,,
MSFT,20260521,,,,,8.97752073062062,
MSFT,20260522,,,,,8.98858504625342,
MSFT,20260526,,,,,9.04302430597274,
MSFT,20260527,,,,,,
MSFT,20260528,,,,,,
MSFT,20260529,,,,,,
MSFT,20260601,,,,,,
MSFT,20260602,,,,,,
MSFT,20260603,,,,,,
MSFT,20260604,,,,,8.63572626851985,
MSFT,20260605,,,,,,
MSFT,20260608,,,,,,
MSFT,20260609,,,,,,
MSFT,20260610,,,,,,
MSFT,20260611,,,,,,
MSFT,20260612,,,,,,
MSFT,20260615,,,,,,
MSFT,20260616,,,,,,
MSFT,20260617,,,,,,
MSFT,20260618,,,,,,
MSFT,20260622,,,,,,
MSFT,20260623,,,,,,
MSFT,20260624,,,,,,
MSFT,20260625,,,,,,
MSFT,20260626,,,,,,
MSFT,20260629,,,,,9.95788107712827,
MSFT,20260630,,,,,,
MSFT,20260701,,,,,,
MSFT,20260702,,,,,,
MSFT,20260706,,,,,,
MSFT,20260707,,,,,,
MSFT,20260708,,,,,,
MSFT,20260709,,,,,,
MSFT,20260710,,,,,,
MSFT,20260713,,,,,,
MSFT,20260714,,,,,,
MSFT,20260715,,,,,,
MSFT,20260716,,,,,,
MSFT,20260717,,,,,,
MSFT,20260720,,,,,,
MSFT,20260721,,,,,,
MSFT,20260722,,,,,,
MSFT,20260723,,,,,,
MSFT,20260724,,,,,9.7142935786289,
