market,symbol,as_of_date,roe,operating_margin,accruals,earnings_yield,book_to_price,sales_to_ev,revenue_growth,earnings_growth,relative_return_26w,relative_return_52w,beta_5y,volatility_1y,z_roe,z_operating_margin,z_accruals,quality,z_earnings_yield,z_book_to_price,z_sales_to_ev,value,z_revenue_growth,z_earnings_growth,growth,z_relative_return_26w,z_relative_return_52w,momentum,z_beta_5y,z_volatility_1y,low_risk,factor_count,core_factor_count,eligible_for_composite,composite_z,extended_composite_z,composite_percentile,composite_method
hk,0700.HK,,,,1894077000000.0,6.0596789414958,0.3116239655179227,19.304041605184,,,-21.7313561189158,-19.7745974545969,1.25319984650482,,,,,,0.9999999999999905,-1.0,1.0000000000000004,0.3333333333333303,,,,-1.0,-1.0,-1.0,1.0,,1.0,3,3,True,0.11111111111111012,0.11111111111111012,100.0,"equal_weight(value,momentum,low_risk)"
hk,0005.HK,,,,,5.95646700720367,0.508399600927975,14.1351723229004,,,17.5974951675725,38.703381626185,1.34570799929844,,,,,,-1.0000000000000095,1.0,-0.9999999999999997,-0.3333333333333364,,,,1.0,1.0,1.0,-1.0,,-1.0,3,3,True,-0.11111111111111212,-0.11111111111111212,50.0,"equal_weight(value,momentum,low_risk)"
us,AAPL,,,,323307000000.0,,,8.77523538041986,,,25.269357122075,33.7505104239684,1.06538024349049,,,,1.0,1.0,,,-1.000000000000002,-1.000000000000002,,,,1.0,1.0,1.0,0.9999999999999954,,0.9999999999999954,4,3,True,0.33333333333333115,0.49999999999999833,100.0,"equal_weight(value,momentum,low_risk)"
us,MSFT,,,,464052000000.0,,,9.7142935786289,,,-23.5673180690382,-35.8561783830181,1.11979872641129,,,,-1.0,-1.0,,,0.9999999999999979,0.9999999999999979,,,,-1.0,-1.0,-1.0,-1.0000000000000044,,-1.0000000000000044,4,3,True,-0.33333333333333554,-0.5000000000000017,50.0,"equal_weight(value,momentum,low_risk)"
